1,376
1,1985
1,2110
1,2187
1,6705
1,10619
1,11128
1,4869
1,3779
1,2029
1,6070
1,13012
1,3711
1,12265
1,779
1,2080
1,4174
1,1809
1,11916
1,6833
1,1446
1,590
1,13051
1,3412
1,2398
1,6684
1,356
1,3575
1,4668
1,12879
1,3497
1,8557
1,5396
1,7532
1,1293
1,13687
1,11068
1,8221
1,5475
1,10388
1,9335
1,13281
1,1971
1,9951
1,9619
1,3374
1,12981
1,8562
1,2085
1,7397
1,13600
1,3688
0.99999,765
0.99999,3210
0.99999,4679
0.99999,721
0.99999,1690
0.99998,6950
0.99998,766
0.99997,8143
0.99996,3620
0.99996,12447
0.99996,11527
0.99995,1259
0.99994,5570
0.99994,10092
0.99992,4154
0.99991,13386
0.9999,13364
0.99989,7761
0.99988,6303
0.99987,5156
0.99987,9613
0.99986,11456
0.99986,6873
0.99985,380
0.99984,6692
0.99983,6852
0.9998,5817
0.99979,10740
0.99979,9407
0.99979,1164
0.99979,7830
0.99977,5638
0.99977,4917
0.99976,13913
0.99976,10665
0.99974,8925
0.99967,13717
0.99959,9968
0.99956,4046
0.99954,7188
0.99945,4218
0.99939,1673
0.99939,9994
0.99936,5900
0.99935,13607
0.99928,10403
0.99923,2777
0.99905,6547
0.99897,2184
0.99896,7454
0.99888,4497
0.99888,3903
0.99882,876
0.99881,10058
0.99877,2679
0.99853,11181
0.99848,3033
0.99826,9955
0.99821,6761
0.998,1023
0.99794,7764
0.99791,3987
0.99789,6040
0.99762,12954
0.99754,6462
0.99691,6124
0.99684,2833
0.99657,4558
0.99632,4008
0.99622,894
0.99609,9503
0.99566,2224
0.99502,10819
0.99473,2696
0.99461,1883
0.99387,2283
0.99302,10846
0.9927,5736
0.99221,10751
0.99176,5947
0.99083,10710
0.98829,9317
0.98782,8970
0.98757,4839
0.9854,1624
0.98508,1026
0.98372,3394
0.98337,8179
0.9829,4847
0.98277,8150
0.98144,13842
0.98072,3465
0.98049,7124
0.97921,575
0.97688,3859
0.97661,2360
0.97611,8934
0.97438,1693
0.97425,138
0.97195,1984
0.9715,13884
0.96969,4166
0.96955,3099
0.96813,6224
0.96087,850
0.95745,1057
0.95687,775
0.9542,801
0.95278,10849
0.95275,13412
0.95211,3113
0.95055,3410
0.95029,10165
0.94453,4632
0.94238,980
0.94073,10450
0.94012,13076
0.93841,6367
0.93688,6071
0.93465,453
0.93408,13711
0.93309,527
0.93005,2578
0.92797,12203
0.92296,12941
0.92291,9863
0.9224,9876
0.92191,424
0.91994,7320
0.91935,3801
0.91898,9861
0.91851,838
0.9176,6584
0.91282,2358
0.90348,4551
0.90299,10022
0.90026,10664
0.89758,6333
0.89611,1385
0.89404,2875
0.89355,10814
0.88866,10587
0.8865,2965
0.88436,177
0.8829,5003
0.8791,6713
0.87653,6764
0.87386,4725
0.87322,5463
0.86586,6023
0.86552,10730
0.86333,10727
0.85857,3043
0.85462,6254
0.85311,7784
0.85063,8267
0.84979,5092
0.84819,5729
0.84699,252
0.84282,10613
0.84006,4879
0.83849,8176
0.8363,12902
0.83579,9857
0.82897,13697
0.82635,11118
0.82549,4626
0.82171,3540
0.81768,8261
0.81571,5671
